INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
(365,776,2023,1,1,10),
(366,776,null,null,null,null),
(631,776,2023,1,1,10),
(632,776,null,null,null,null),
(633,776,2023,1,1,10),
(634,776,null,null,null,null),
(367,117,2018,1,1,10),
(368,117,null,null,null,null),
(369,117,null,null,null,null),
(370,117,2018,1,1,10),
(371,117,null,null,null,null),
(372,117,null,null,null,null),
(635,117,null,null,null,null),
(636,117,null,null,null,null),
(637,117,null,null,null,null),
(638,117,2018,1,1,10),
(367,127,null,null,null,null),
(368,127,null,null,null,null),
(369,127,2018,1,1,10),
(370,127,null,null,null,null),
(371,127,null,null,null,null),
(372,127,2018,1,1,10),
(635,127,null,null,null,null),
(636,127,null,null,null,null),
(637,127,null,null,null,null),
(638,127,null,null,null,null),
(367,247,2019,1,1,10),
(368,247,null,null,null,null),
(369,247,2019,1,1,10),
(370,247,2019,1,1,10),
(371,247,2019,1,1,10),
(372,247,null,null,null,null),
(635,247,2019,1,1,10),
(636,247,2019,1,1,10),
(637,247,2019,1,1,10),
(638,247,2019,1,1,10),
(367,257,null,null,null,null),
(368,257,2019,1,1,10),
(369,257,2019,1,1,10),
(370,257,null,null,null,null),
(371,257,null,null,null,null),
(372,257,2019,1,1,10),
(635,257,2019,1,1,10),
(636,257,null,null,null,null),
(637,257,null,null,null,null),
(638,257,null,null,null,null),
(367,377,null,null,null,null),
(368,377,null,null,null,null),
(369,377,null,null,null,null),
(370,377,2020,1,1,10),
(371,377,null,null,null,null),
(372,377,2020,1,1,10),
(635,377,2020,1,1,10),
(636,377,2020,1,1,10),
(637,377,null,null,null,null),
(638,377,2020,1,1,10),
(367,387,null,null,null,null),
(368,387,2020,1,1,10),
(369,387,null,null,null,null),
(370,387,null,null,null,null),
(371,387,2020,1,1,10),
(372,387,2020,1,1,10),
(635,387,null,null,null,null),
(636,387,2020,1,1,10),
(637,387,null,null,null,null),
(638,387,null,null,null,null),
(367,507,null,null,null,null),
(368,507,2021,1,1,10),
(369,507,2021,1,1,10),
(370,507,2021,1,1,10),
(371,507,2021,1,1,10),
(372,507,null,null,null,null),
(635,507,2021,1,1,10),
(636,507,2021,1,1,10),
(637,507,2021,1,1,10),
(638,507,null,null,null,null),
(367,517,null,null,null,null),
(368,517,2021,1,1,10),
(369,517,2021,1,1,10),
(370,517,null,null,null,null),
(371,517,null,null,null,null),
(372,517,null,null,null,null),
(635,517,2021,1,1,10),
(636,517,2021,1,1,10),
(637,517,null,null,null,null),
(638,517,2021,1,1,10),
(367,637,2022,1,1,10),
(368,637,null,null,null,null),
(369,637,null,null,null,null),
(370,637,2022,1,1,10),
(371,637,2022,1,1,10),
(372,637,null,null,null,null),
(635,637,null,null,null,null),
(636,637,null,null,null,null),
(637,637,2022,1,1,10),
(638,637,null,null,null,null),
(367,647,null,null,null,null),
(368,647,null,null,null,null),
(369,647,2022,1,1,10),
(370,647,null,null,null,null),
(371,647,2022,1,1,10),
(372,647,null,null,null,null),
(635,647,2022,1,1,10),
(636,647,null,null,null,null),
(637,647,null,null,null,null),
(638,647,2022,1,1,10),
(367,767,2023,1,1,10),
(368,767,2023,1,1,10),
(369,767,null,null,null,null),
(370,767,null,null,null,null),
(371,767,2023,1,1,10),
(372,767,2023,1,1,10),
(635,767,null,null,null,null),
(636,767,null,null,null,null),
(637,767,2023,1,1,10),
(638,767,null,null,null,null),
(367,777,2023,1,1,10),
(368,777,2023,1,1,10),
(369,777,null,null,null,null),
(370,777,2023,1,1,10),
(371,777,null,null,null,null),
(372,777,2023,1,1,10),
(635,777,2023,1,1,10),
(636,777,null,null,null,null),
(637,777,2023,1,1,10),
(638,777,null,null,null,null),
(7,2,2018,1,1,10),
(8,2,2018,1,1,10),
(9,2,2018,1,1,10),
(10,2,null,null,null,null),
(11,2,null,null,null,null),
(12,2,null,null,null,null),
(395,2,null,null,null,null),
(396,2,2018,1,1,10),
(397,2,null,null,null,null),
(398,2,2018,1,1,10),
(7,11,2018,1,1,10),
(8,11,null,null,null,null),
(9,11,2018,1,1,10),
(10,11,2018,1,1,10),
(11,11,null,null,null,null),
(12,11,null,null,null,null),
(395,11,2018,1,1,10),
(396,11,null,null,null,null),
(397,11,null,null,null,null),
(398,11,null,null,null,null),
(7,132,null,null,null,null),
(8,132,null,null,null,null),
(9,132,null,null,null,null),
(10,132,2019,1,1,10),
(11,132,null,null,null,null),
(12,132,2019,1,1,10),
(395,132,null,null,null,null),
(396,132,null,null,null,null),
(397,132,2019,1,1,10),
(398,132,null,null,null,null),
(7,141,null,null,null,null),
(8,141,2019,1,1,10),
(9,141,2019,1,1,10),
(10,141,null,null,null,null),
(11,141,2019,1,1,10),
(12,141,null,null,null,null),
(395,141,null,null,null,null),
(396,141,null,null,null,null),
(397,141,2019,1,1,10),
(398,141,2019,1,1,10),
(7,262,2020,1,1,10),
(8,262,null,null,null,null),
(9,262,null,null,null,null),
(10,262,2020,1,1,10),
(11,262,2020,1,1,10),
(12,262,null,null,null,null),
(395,262,null,null,null,null),
(396,262,null,null,null,null),
(397,262,null,null,null,null),
(398,262,2020,1,1,10),
(7,271,2020,1,1,10),
(8,271,null,null,null,null),
(9,271,2020,1,1,10),
(10,271,2020,1,1,10),
(11,271,null,null,null,null),
(12,271,null,null,null,null),
(395,271,null,null,null,null),
(396,271,2020,1,1,10),
(397,271,2020,1,1,10),
(398,271,null,null,null,null),
(7,392,null,null,null,null),
(8,392,null,null,null,null),
(9,392,2021,1,1,10),
(10,392,2021,1,1,10),
(11,392,null,null,null,null),
(12,392,null,null,null,null),
(395,392,2021,1,1,10),
(396,392,null,null,null,null),
(397,392,null,null,null,null),
(398,392,2021,1,1,10),
(7,401,2021,1,1,10),
(8,401,2021,1,1,10),
(9,401,2021,1,1,10),
(10,401,2021,1,1,10),
(11,401,null,null,null,null),
(12,401,2021,1,1,10),
(395,401,2021,1,1,10),
(396,401,null,null,null,null),
(397,401,null,null,null,null),
(398,401,null,null,null,null),
(7,522,2022,1,1,10),
(8,522,null,null,null,null),
(9,522,null,null,null,null),
(10,522,null,null,null,null),
(11,522,2022,1,1,10),
(12,522,null,null,null,null),
(395,522,null,null,null,null),
(396,522,null,null,null,null),
(397,522,null,null,null,null),
(398,522,2022,1,1,10),
(7,531,2022,1,1,10),
(8,531,2022,1,1,10),
(9,531,null,null,null,null),
(10,531,2022,1,1,10),
(11,531,2022,1,1,10),
(12,531,null,null,null,null),
(395,531,2022,1,1,10),
(396,531,2022,1,1,10),
(397,531,2022,1,1,10),
(398,531,2022,1,1,10),
(7,652,null,null,null,null),
(8,652,null,null,null,null),
(9,652,null,null,null,null),
(10,652,null,null,null,null),
(11,652,null,null,null,null),
(12,652,null,null,null,null),
(395,652,null,null,null,null),
(396,652,null,null,null,null),
(397,652,2023,1,1,10),
(398,652,2023,1,1,10),
(7,661,2023,1,1,10),
(8,661,null,null,null,null),
(9,661,null,null,null,null),
(10,661,2023,1,1,10),
(11,661,2023,1,1,10),
(12,661,null,null,null,null),
(395,661,2023,1,1,10),
(396,661,null,null,null,null),
(397,661,null,null,null,null),
(398,661,null,null,null,null),
(37,7,2018,1,1,10),
(38,7,null,null,null,null),
(39,7,null,null,null,null),
(40,7,2018,1,1,10),
(41,7,2018,1,1,10),
(42,7,2018,1,1,10),
(415,7,2018,1,1,10),
(416,7,2018,1,1,10),
(417,7,null,null,null,null),
(418,7,null,null,null,null),
(37,16,null,null,null,null),
(38,16,2018,1,1,10),
(39,16,null,null,null,null),
(40,16,2018,1,1,10),
(41,16,2018,1,1,10),
(42,16,2018,1,1,10),
(415,16,null,null,null,null),
(416,16,null,null,null,null),
(417,16,2018,1,1,10),
(418,16,2018,1,1,10),
(37,137,null,null,null,null),
(38,137,null,null,null,null),
(39,137,null,null,null,null),
(40,137,2019,1,1,10),
(41,137,null,null,null,null),
(42,137,null,null,null,null),
(415,137,null,null,null,null),
(416,137,null,null,null,null),
(417,137,2019,1,1,10),
(418,137,2019,1,1,10),
(37,146,2019,1,1,10),
(38,146,2019,1,1,10),
(39,146,2019,1,1,10),
(40,146,null,null,null,null),
(41,146,2019,1,1,10),
(42,146,null,null,null,null),
(415,146,2019,1,1,10),
(416,146,2019,1,1,10),
(417,146,2019,1,1,10),
(418,146,null,null,null,null),
(37,267,null,null,null,null),
(38,267,null,null,null,null),
(39,267,null,null,null,null),
(40,267,null,null,null,null),
(41,267,2020,1,1,10),
(42,267,null,null,null,null),
(415,267,2020,1,1,10),
(416,267,null,null,null,null),
(417,267,null,null,null,null),
(418,267,null,null,null,null),
(37,276,null,null,null,null),
(38,276,null,null,null,null),
(39,276,null,null,null,null),
(40,276,null,null,null,null),
(41,276,null,null,null,null),
(42,276,2020,1,1,10),
(415,276,null,null,null,null),
(416,276,null,null,null,null),
(417,276,2020,1,1,10),
(418,276,null,null,null,null),
(37,397,null,null,null,null),
(38,397,2021,1,1,10),
(39,397,null,null,null,null),
(40,397,null,null,null,null),
(41,397,2021,1,1,10),
(42,397,null,null,null,null),
(415,397,null,null,null,null),
(416,397,2021,1,1,10),
(417,397,null,null,null,null),
(418,397,null,null,null,null),
(37,406,null,null,null,null),
(38,406,null,null,null,null),
(39,406,2021,1,1,10),
(40,406,null,null,null,null),
(41,406,2021,1,1,10),
(42,406,null,null,null,null),
(415,406,2021,1,1,10),
(416,406,null,null,null,null),
(417,406,null,null,null,null),
(418,406,2021,1,1,10),
(37,527,null,null,null,null),
(38,527,2022,1,1,10),
(39,527,null,null,null,null),
(40,527,2022,1,1,10),
(41,527,2022,1,1,10),
(42,527,null,null,null,null),
(415,527,null,null,null,null),
(416,527,null,null,null,null),
(417,527,null,null,null,null),
(418,527,null,null,null,null),
(37,536,null,null,null,null),
(38,536,2022,1,1,10),
(39,536,null,null,null,null),
(40,536,2022,1,1,10),
(41,536,null,null,null,null),
(42,536,2022,1,1,10),
(415,536,null,null,null,null),
(416,536,null,null,null,null),
(417,536,2022,1,1,10),
(418,536,null,null,null,null),
(37,657,null,null,null,null),
(38,657,null,null,null,null),
(39,657,2023,1,1,10),
(40,657,2023,1,1,10),
(41,657,2023,1,1,10),
(42,657,2023,1,1,10),
(415,657,2023,1,1,10),
(416,657,null,null,null,null),
(417,657,null,null,null,null),
(418,657,null,null,null,null),
(37,666,null,null,null,null),
(38,666,null,null,null,null),
(39,666,2023,1,1,10),
(40,666,null,null,null,null),
(41,666,2023,1,1,10),
(42,666,null,null,null,null),
(415,666,null,null,null,null),
(416,666,2023,1,1,10),
(417,666,2023,1,1,10),
(418,666,null,null,null,null),
(43,8,null,null,null,null),
(44,8,2018,1,1,10),
(45,8,null,null,null,null),
(46,8,null,null,null,null),
(47,8,null,null,null,null),
(48,8,null,null,null,null),
(419,8,null,null,null,null),
(420,8,null,null,null,null),
(421,8,2018,1,1,10),
(422,8,null,null,null,null),
(43,17,null,null,null,null),
(44,17,null,null,null,null),
(45,17,2018,1,1,10),
(46,17,2018,1,1,10),
(47,17,2018,1,1,10),
(48,17,null,null,null,null),
(419,17,null,null,null,null),
(420,17,null,null,null,null),
(421,17,2018,1,1,10),
(422,17,2018,1,1,10),
(43,138,null,null,null,null),
(44,138,null,null,null,null),
(45,138,2019,1,1,10),
(46,138,2019,1,1,10),
(47,138,null,null,null,null),
(48,138,null,null,null,null),
(419,138,null,null,null,null),
(420,138,2019,1,1,10),
(421,138,null,null,null,null),
(422,138,2019,1,1,10),
(43,147,null,null,null,null),
(44,147,null,null,null,null),
(45,147,2019,1,1,10),
(46,147,2019,1,1,10),
(47,147,2019,1,1,10),
(48,147,null,null,null,null),
(419,147,null,null,null,null),
(420,147,null,null,null,null),
(421,147,null,null,null,null),
(422,147,null,null,null,null),
(43,268,2020,1,1,10),
(44,268,null,null,null,null),
(45,268,null,null,null,null),
(46,268,2020,1,1,10),
(47,268,2020,1,1,10),
(48,268,null,null,null,null),
(419,268,null,null,null,null),
(420,268,2020,1,1,10),
(421,268,2020,1,1,10),
(422,268,null,null,null,null),
(43,277,2020,1,1,10),
(44,277,null,null,null,null),
(45,277,2020,1,1,10),
(46,277,null,null,null,null),
(47,277,2020,1,1,10),
(48,277,null,null,null,null),
(419,277,null,null,null,null),
(420,277,2020,1,1,10),
(421,277,null,null,null,null),
(422,277,null,null,null,null),
(43,398,null,null,null,null),
(44,398,2021,1,1,10),
(45,398,2021,1,1,10),
(46,398,2021,1,1,10),
(47,398,2021,1,1,10),
(48,398,2021,1,1,10),
(419,398,2021,1,1,10),
(420,398,null,null,null,null),
(421,398,null,null,null,null),
(422,398,2021,1,1,10),
(43,407,null,null,null,null),
(44,407,null,null,null,null),
(45,407,null,null,null,null),
(46,407,2021,1,1,10),
(47,407,2021,1,1,10),
(48,407,null,null,null,null),
(419,407,2021,1,1,10),
(420,407,null,null,null,null),
(421,407,2021,1,1,10),
(422,407,null,null,null,null),
(43,528,2022,1,1,10),
(44,528,2022,1,1,10),
(45,528,null,null,null,null),
(46,528,null,null,null,null),
(47,528,2022,1,1,10),
(48,528,null,null,null,null),
(419,528,null,null,null,null),
(420,528,null,null,null,null),
(421,528,null,null,null,null),
(422,528,null,null,null,null),
(43,537,2022,1,1,10),
(44,537,2022,1,1,10),
(45,537,null,null,null,null),
(46,537,null,null,null,null),
(47,537,2022,1,1,10),
(48,537,2022,1,1,10),
(419,537,2022,1,1,10),
(420,537,null,null,null,null),
(421,537,null,null,null,null),
(422,537,2022,1,1,10),
(43,658,2023,1,1,10),
(44,658,2023,1,1,10),
(45,658,null,null,null,null),
(46,658,2023,1,1,10),
(47,658,2023,1,1,10),
(48,658,2023,1,1,10),
(419,658,null,null,null,null),
(420,658,2023,1,1,10),
(421,658,null,null,null,null),
(422,658,null,null,null,null),
(43,667,2023,1,1,10),
(44,667,2023,1,1,10),
(45,667,null,null,null,null),
(46,667,null,null,null,null),
(47,667,2023,1,1,10),
(48,667,null,null,null,null),
(419,667,null,null,null,null),
(420,667,2023,1,1,10),
(421,667,null,null,null,null),
(422,667,null,null,null,null),
(61,20,null,null,null,null),
(62,20,null,null,null,null),
(63,20,null,null,null,null),
(64,20,2018,1,1,10),
(65,20,2018,1,1,10),
(66,20,null,null,null,null),
(431,20,null,null,null,null),
(432,20,null,null,null,null),
(433,20,2018,1,1,10),
(434,20,null,null,null,null),
(61,31,2018,1,1,10),
(62,31,null,null,null,null),
(63,31,2018,1,1,10),
(64,31,null,null,null,null),
(65,31,2018,1,1,10),
(66,31,null,null,null,null),
(431,31,2018,1,1,10),
(432,31,null,null,null,null),
(433,31,2018,1,1,10),
(434,31,null,null,null,null),
(61,150,null,null,null,null),
(62,150,null,null,null,null),
(63,150,null,null,null,null),
(64,150,null,null,null,null),
(65,150,null,null,null,null),
(66,150,2019,1,1,10),
(431,150,2019,1,1,10),
(432,150,2019,1,1,10),
(433,150,null,null,null,null),
(434,150,2019,1,1,10),
(61,161,2019,1,1,10),
(62,161,2019,1,1,10),
(63,161,2019,1,1,10),
(64,161,2019,1,1,10),
(65,161,null,null,null,null),
(66,161,2019,1,1,10),
(431,161,2019,1,1,10),
(432,161,null,null,null,null),
(433,161,2019,1,1,10),
(434,161,null,null,null,null),
(61,280,2020,1,1,10),
(62,280,null,null,null,null),
(63,280,null,null,null,null),
(64,280,2020,1,1,10),
(65,280,2020,1,1,10),
(66,280,2020,1,1,10),
(431,280,null,null,null,null),
(432,280,null,null,null,null),
(433,280,null,null,null,null),
(434,280,null,null,null,null),
(61,291,null,null,null,null),
(62,291,2020,1,1,10),
(63,291,2020,1,1,10),
(64,291,2020,1,1,10),
(65,291,2020,1,1,10),
(66,291,null,null,null,null),
(431,291,2020,1,1,10),
(432,291,null,null,null,null),
(433,291,2020,1,1,10),
(434,291,null,null,null,null),
(61,410,2021,1,1,10),
(62,410,null,null,null,null),
(63,410,null,null,null,null),
(64,410,2021,1,1,10),
(65,410,null,null,null,null),
(66,410,2021,1,1,10),
(431,410,2021,1,1,10),
(432,410,null,null,null,null),
(433,410,null,null,null,null),
(434,410,2021,1,1,10),
(61,421,2021,1,1,10),
(62,421,null,null,null,null),
(63,421,2021,1,1,10),
(64,421,null,null,null,null),
(65,421,2021,1,1,10),
(66,421,2021,1,1,10),
(431,421,2021,1,1,10),
(432,421,null,null,null,null),
(433,421,null,null,null,null),
(434,421,null,null,null,null),
(61,540,null,null,null,null),
(62,540,null,null,null,null),
(63,540,2022,1,1,10),
(64,540,null,null,null,null),
(65,540,null,null,null,null),
(66,540,2022,1,1,10),
(431,540,null,null,null,null),
(432,540,2022,1,1,10),
(433,540,2022,1,1,10),
(434,540,null,null,null,null),
(61,551,2022,1,1,10),
(62,551,2022,1,1,10),
(63,551,2022,1,1,10),
(64,551,null,null,null,null),
(65,551,null,null,null,null),
(66,551,null,null,null,null),
(431,551,2022,1,1,10),
(432,551,2022,1,1,10),
(433,551,2022,1,1,10),
(434,551,2022,1,1,10),
(61,670,null,null,null,null),
(62,670,2023,1,1,10),
(63,670,null,null,null,null),
(64,670,null,null,null,null),
(65,670,null,null,null,null),
(66,670,2023,1,1,10),
(431,670,2023,1,1,10),
(432,670,null,null,null,null),
(433,670,null,null,null,null),
(434,670,2023,1,1,10),
(61,681,null,null,null,null),
(62,681,null,null,null,null),
(63,681,2023,1,1,10),
(64,681,2023,1,1,10),
(65,681,null,null,null,null),
(66,681,null,null,null,null),
(431,681,2023,1,1,10),
(432,681,2023,1,1,10),
(433,681,2023,1,1,10),
(434,681,null,null,null,null),
(79,23,2018,1,1,10),
(80,23,2018,1,1,10),
(81,23,2018,1,1,10),
(82,23,null,null,null,null),
(83,23,2018,1,1,10),
(84,23,null,null,null,null),
(443,23,2018,1,1,10),
(444,23,2018,1,1,10),
(445,23,null,null,null,null),
(446,23,null,null,null,null),
(79,34,null,null,null,null),
(80,34,null,null,null,null),
(81,34,2018,1,1,10),
(82,34,2018,1,1,10),
(83,34,null,null,null,null),
(84,34,2018,1,1,10),
(443,34,2018,1,1,10),
(444,34,null,null,null,null),
(445,34,null,null,null,null),
(446,34,2018,1,1,10),
(79,153,2019,1,1,10),
(80,153,2019,1,1,10),
(81,153,null,null,null,null),
(82,153,2019,1,1,10),
(83,153,2019,1,1,10),
(84,153,null,null,null,null),
(443,153,2019,1,1,10),
(444,153,null,null,null,null),
(445,153,null,null,null,null),
(446,153,2019,1,1,10),
(79,164,2019,1,1,10),
(80,164,null,null,null,null),
(81,164,null,null,null,null),
(82,164,null,null,null,null),
(83,164,null,null,null,null),
(84,164,null,null,null,null),
(443,164,2019,1,1,10),
(444,164,null,null,null,null),
(445,164,null,null,null,null),
(446,164,null,null,null,null),
(79,283,2020,1,1,10),
(80,283,null,null,null,null),
(81,283,null,null,null,null),
(82,283,null,null,null,null),
(83,283,null,null,null,null),
(84,283,null,null,null,null),
(443,283,null,null,null,null),
(444,283,2020,1,1,10),
(445,283,null,null,null,null),
(446,283,2020,1,1,10),
(79,294,2020,1,1,10),
(80,294,null,null,null,null),
(81,294,null,null,null,null),
(82,294,null,null,null,null),
(83,294,null,null,null,null),
(84,294,null,null,null,null),
(443,294,null,null,null,null),
(444,294,null,null,null,null),
(445,294,null,null,null,null),
(446,294,2020,1,1,10),
(79,413,2021,1,1,10),
(80,413,2021,1,1,10),
(81,413,null,null,null,null),
(82,413,null,null,null,null),
(83,413,null,null,null,null),
(84,413,null,null,null,null),
(443,413,2021,1,1,10),
(444,413,null,null,null,null),
(445,413,2021,1,1,10),
(446,413,2021,1,1,10),
(79,424,null,null,null,null),
(80,424,null,null,null,null),
(81,424,2021,1,1,10),
(82,424,2021,1,1,10),
(83,424,2021,1,1,10),
(84,424,2021,1,1,10),
(443,424,2021,1,1,10),
(444,424,2021,1,1,10),
(445,424,null,null,null,null),
(446,424,null,null,null,null),
(79,543,2022,1,1,10),
(80,543,null,null,null,null),
(81,543,2022,1,1,10),
(82,543,2022,1,1,10),
(83,543,2022,1,1,10),
(84,543,null,null,null,null),
(443,543,null,null,null,null),
(444,543,2022,1,1,10),
(445,543,2022,1,1,10),
(446,543,2022,1,1,10),
(79,554,null,null,null,null),
(80,554,2022,1,1,10),
(81,554,null,null,null,null),
(82,554,2022,1,1,10),
(83,554,2022,1,1,10),
(84,554,2022,1,1,10),
(443,554,2022,1,1,10),
(444,554,null,null,null,null),
(445,554,2022,1,1,10),
(446,554,2022,1,1,10),
(79,673,2023,1,1,10),
(80,673,2023,1,1,10),
(81,673,2023,1,1,10),
(82,673,2023,1,1,10),
(83,673,null,null,null,null),
(84,673,2023,1,1,10),
(443,673,2023,1,1,10),
(444,673,2023,1,1,10),
(445,673,2023,1,1,10),
(446,673,null,null,null,null),
(79,684,2023,1,1,10),
(80,684,null,null,null,null),
(81,684,null,null,null,null),
(82,684,null,null,null,null),
(83,684,2023,1,1,10),
(84,684,2023,1,1,10),
(443,684,null,null,null,null),
(444,684,2023,1,1,10),
(445,684,2023,1,1,10),
(446,684,null,null,null,null),
(91,25,2018,1,1,10),
(92,25,2018,1,1,10),
(93,25,2018,1,1,10),
(94,25,2018,1,1,10),
(95,25,2018,1,1,10),
(96,25,2018,1,1,10),
(451,25,2018,1,1,10),
(452,25,null,null,null,null),
(453,25,null,null,null,null),
(454,25,2018,1,1,10),
(91,36,2018,1,1,10),
(92,36,2018,1,1,10),
(93,36,null,null,null,null),
(94,36,null,null,null,null),
(95,36,null,null,null,null),
(96,36,null,null,null,null),
(451,36,2018,1,1,10),
(452,36,null,null,null,null),
(453,36,null,null,null,null),
(454,36,2018,1,1,10),
(91,155,2019,1,1,10),
(92,155,2019,1,1,10),
(93,155,2019,1,1,10),
(94,155,null,null,null,null),
(95,155,null,null,null,null),
(96,155,2019,1,1,10),
(451,155,2019,1,1,10),
(452,155,2019,1,1,10),
(453,155,null,null,null,null),
(454,155,2019,1,1,10),
(91,166,null,null,null,null),
(92,166,2019,1,1,10),
(93,166,null,null,null,null),
(94,166,null,null,null,null),
(95,166,2019,1,1,10),
(96,166,2019,1,1,10),
(451,166,2019,1,1,10),
(452,166,2019,1,1,10),
(453,166,null,null,null,null),
(454,166,2019,1,1,10),
(91,285,2020,1,1,10),
(92,285,null,null,null,null),
(93,285,2020,1,1,10),
(94,285,null,null,null,null),
(95,285,null,null,null,null),
(96,285,2020,1,1,10),
(451,285,2020,1,1,10),
(452,285,null,null,null,null),
(453,285,null,null,null,null),
(454,285,null,null,null,null),
(91,296,null,null,null,null),
(92,296,null,null,null,null),
(93,296,2020,1,1,10),
(94,296,null,null,null,null),
(95,296,null,null,null,null),
(96,296,null,null,null,null),
(451,296,2020,1,1,10),
(452,296,2020,1,1,10),
(453,296,null,null,null,null),
(454,296,null,null,null,null),
(91,415,null,null,null,null),
(92,415,null,null,null,null),
(93,415,null,null,null,null),
(94,415,2021,1,1,10),
(95,415,null,null,null,null),
(96,415,null,null,null,null),
(451,415,null,null,null,null),
(452,415,null,null,null,null),
(453,415,2021,1,1,10),
(454,415,2021,1,1,10),
(91,426,null,null,null,null),
(92,426,null,null,null,null),
(93,426,2021,1,1,10),
(94,426,null,null,null,null),
(95,426,null,null,null,null),
(96,426,2021,1,1,10),
(451,426,2021,1,1,10),
(452,426,2021,1,1,10),
(453,426,null,null,null,null),
(454,426,2021,1,1,10),
(91,545,2022,1,1,10),
(92,545,null,null,null,null),
(93,545,2022,1,1,10),
(94,545,null,null,null,null),
(95,545,null,null,null,null),
(96,545,null,null,null,null),
(451,545,2022,1,1,10),
(452,545,null,null,null,null),
(453,545,2022,1,1,10),
(454,545,2022,1,1,10),
(91,556,null,null,null,null),
(92,556,null,null,null,null),
(93,556,2022,1,1,10),
(94,556,null,null,null,null),
(95,556,2022,1,1,10),
(96,556,null,null,null,null),
(451,556,2022,1,1,10),
(452,556,null,null,null,null),
(453,556,2022,1,1,10),
(454,556,2022,1,1,10),
(91,675,2023,1,1,10),
(92,675,null,null,null,null),
(93,675,null,null,null,null),
(94,675,2023,1,1,10),
(95,675,2023,1,1,10),
(96,675,null,null,null,null),
(451,675,null,null,null,null),
(452,675,null,null,null,null),
(453,675,2023,1,1,10),
(454,675,2023,1,1,10),
(91,686,null,null,null,null),
(92,686,2023,1,1,10),
(93,686,null,null,null,null),
(94,686,2023,1,1,10),
(95,686,null,null,null,null),
(96,686,null,null,null,null),
(451,686,2023,1,1,10),
(452,686,2023,1,1,10),
(453,686,null,null,null,null),
(454,686,null,null,null,null),
(109,28,null,null,null,null),
(110,28,null,null,null,null),
(111,28,2018,1,1,10),
(112,28,2018,1,1,10),
(113,28,2018,1,1,10),
(114,28,2018,1,1,10),
(463,28,null,null,null,null),
(464,28,null,null,null,null),
(465,28,2018,1,1,10),
(466,28,2018,1,1,10),
(109,39,2018,1,1,10),
(110,39,null,null,null,null),
(111,39,2018,1,1,10),
(112,39,null,null,null,null),
(113,39,null,null,null,null),
(114,39,2018,1,1,10),
(463,39,2018,1,1,10),
(464,39,null,null,null,null),
(465,39,null,null,null,null),
(466,39,null,null,null,null),
(109,158,null,null,null,null),
(110,158,2019,1,1,10),
(111,158,2019,1,1,10),
(112,158,2019,1,1,10),
(113,158,2019,1,1,10),
(114,158,2019,1,1,10),
(463,158,2019,1,1,10),
(464,158,null,null,null,null),
(465,158,null,null,null,null),
(466,158,2019,1,1,10),
(109,169,2019,1,1,10),
(110,169,null,null,null,null),
(111,169,2019,1,1,10),
(112,169,null,null,null,null),
(113,169,null,null,null,null),
(114,169,null,null,null,null),
(463,169,2019,1,1,10),
(464,169,2019,1,1,10),
(465,169,2019,1,1,10),
(466,169,null,null,null,null),
(109,288,null,null,null,null),
(110,288,2020,1,1,10),
(111,288,2020,1,1,10),
(112,288,2020,1,1,10),
(113,288,2020,1,1,10),
(114,288,null,null,null,null),
(463,288,2020,1,1,10),
(464,288,2020,1,1,10),
(465,288,null,null,null,null),
(466,288,2020,1,1,10),
(109,299,null,null,null,null),
(110,299,2020,1,1,10),
(111,299,2020,1,1,10),
(112,299,null,null,null,null),
(113,299,null,null,null,null),
(114,299,2020,1,1,10),
(463,299,null,null,null,null),
(464,299,null,null,null,null),
(465,299,null,null,null,null),
(466,299,2020,1,1,10),
(109,418,null,null,null,null),
(110,418,2021,1,1,10),
(111,418,null,null,null,null),
(112,418,2021,1,1,10),
(113,418,2021,1,1,10),
(114,418,2021,1,1,10),
(463,418,null,null,null,null),
(464,418,2021,1,1,10),
(465,418,2021,1,1,10),
(466,418,null,null,null,null),
(109,429,2021,1,1,10),
(110,429,2021,1,1,10),
(111,429,null,null,null,null),
(112,429,2021,1,1,10),
(113,429,2021,1,1,10),
(114,429,null,null,null,null),
(463,429,2021,1,1,10),
(464,429,2021,1,1,10),
(465,429,null,null,null,null),
(466,429,null,null,null,null),
(109,548,null,null,null,null),
(110,548,2022,1,1,10),
(111,548,null,null,null,null),
(112,548,2022,1,1,10),
(113,548,null,null,null,null),
(114,548,2022,1,1,10),
(463,548,2022,1,1,10),
(464,548,null,null,null,null),
(465,548,2022,1,1,10),
(466,548,2022,1,1,10),
(109,559,null,null,null,null),
(110,559,2022,1,1,10),
(111,559,2022,1,1,10),
(112,559,2022,1,1,10),
(113,559,null,null,null,null),
(114,559,2022,1,1,10),
(463,559,2022,1,1,10),
(464,559,2022,1,1,10),
(465,559,2022,1,1,10),
(466,559,2022,1,1,10),
(109,678,2023,1,1,10),
(110,678,null,null,null,null),
(111,678,null,null,null,null),
(112,678,null,null,null,null),
(113,678,2023,1,1,10),
(114,678,null,null,null,null),
(463,678,2023,1,1,10),
(464,678,2023,1,1,10),
(465,678,2023,1,1,10),
(466,678,2023,1,1,10),
(109,689,2023,1,1,10),
(110,689,null,null,null,null),
(111,689,2023,1,1,10),
(112,689,2023,1,1,10),
(113,689,2023,1,1,10),
(114,689,null,null,null,null),
(463,689,2023,1,1,10),
